File,Start,End,Center1,Center2,group,steady_start,steady_end,f0,f1,f2,f3,f4
m36ae,102.0,372.0,138.0,163.0,men,105.9,195.1,121.23066591634458,585.3709193739201,1829.906896852646,2356.1188396017437,2893.9935194468762
m37ae,73.0,280.0,121.0,94.0,men,73.3,141.7,131.0570753309584,608.3575219448122,1742.2763664728902,2392.359651133771,3478.441141980769
m38ae,72.0,285.0,95.0,105.0,men,72.0,135.1,132.18551904322075,565.9000849286864,2079.183858338437,2390.9868523496366,3487.964191126196
m39ae,76.0,387.0,106.0,130.0,men,76.0,169.3,150.61959343082685,600.5795166692521,2022.419477679293,2713.9318726277234,3483.4158634637815
m40ae,80.0,353.0,129.0,164.0,men,101.5,191.5,140.1873315513582,608.9823716924371,1915.2899173346057,2582.4352846299726,4086.220401161212
m41ae,78.0,308.0,128.0,144.0,men,98.1,173.9,139.25246058332962,574.782145972445,1767.0237056578017,2574.207893137168,3337.0669005911195
m42ae,189.0,523.0,243.0,268.0,men,200.4,310.6,127.79216158046238,612.6047888478588,1869.3870068472036,2761.248311860291,3615.332924161179
m44ae,166.0,442.0,199.0,216.0,men,166.0,253.0,98.53000902711983,590.7429915010134,1888.6940817203877,2472.2739967913617,2900.258411246529
m45ae,105.0,388.0,192.0,186.0,men,142.3,235.7,179.6897109030705,642.0083487540412,2359.4973737146656,3003.120013010238,3758.0460137182818
m47ae,84.0,376.0,125.0,137.0,men,84.0,179.2,128.0437826190945,524.8197708945496,1768.035760063402,2500.144944154244,3513.2392109530047
m48ae,75.0,320.0,92.0,131.0,men,75.0,151.9,119.55663881843768,594.2459222328301,1839.5038925009192,2538.6275176117515,4066.1655242346715
m49ae,106.0,372.0,166.0,160.0,men,119.1,206.9,124.3565177796151,615.8770296196724,1951.1459150038127,2567.2852297390655,3157.2739829511606
m50ae,111.0,400.0,137.0,160.0,men,111.0,196.2,115.41642894882476,573.2901024391256,2026.2859323212933,2521.401515957068,3343.6672515357077
w01ae,75.0,380.0,128.0,176.0,women,101.7,202.3,224.94549256125092,685.3063169809583,2136.9730341708946,2791.2152337796742,4129.44262979354
w02ae,114.0,600.0,170.0,176.0,women,114.0,253.2,217.56220758113867,649.602685861118,2453.833596353977,3039.6853361066546,4089.0477684712723
w03ae,93.0,386.0,121.0,136.0,women,93.0,176.8,197.5096179274732,704.7223039270285,2395.725887610499,2931.3022316335905,4037.8839573427776
w04ae,75.0,428.0,102.0,122.0,women,75.0,170.2,236.79154924757026,768.1801571126732,2094.9036071618793,2712.4513813007493,3821.3665137891053
w05ae,143.0,481.0,192.0,200.0,women,143.0,251.8,226.78283548829913,616.8233095346294,1205.328337195701,2476.3048345516722,3553.8860207485445
w06ae,94.0,456.0,136.0,168.0,women,94.0,211.7,225.8975393000204,647.8682999608301,2241.761021879872,2911.677249758379,3554.436065675469
w07ae,161.0,474.0,248.0,256.0,women,200.4,303.6,178.58557404978012,716.2687339577716,2247.006190799603,2792.422972076451,3846.0725905702607
w08ae,80.0,364.0,120.0,128.0,women,80.0,170.9,238.69048365316684,648.624229290801,2503.0789116455267,3505.075430383512,4442.551890968049
w09ae,85.0,338.0,170.0,162.0,women,124.3,207.7,246.692324963558,690.0450879032401,1317.2672750074048,2362.796870218403,3092.628875178928
w10ae,61.0,417.0,114.0,144.0,women,70.3,187.7,229.6179431941288,621.3262172193732,2236.407628259943,2887.9512081259913,3777.133823407777
w11ae,71.0,456.0,216.0,240.0,women,164.5,291.5,190.37670130855489,857.4004992319177,1775.564602651439,2414.439852200868,3098.287767546434
w12ae,101.0,456.0,128.0,160.0,women,101.0,202.6,230.24856763633272,686.2537092745239,2452.8309622412357,3039.7295960771676,4110.778349767896
w13ae,82.0,397.0,127.0,139.0,women,82.0,185.0,239.17220400675578,657.7706943941222,2260.6405818989256,2837.7308041599845,4015.9523416209236
w14ae,76.0,348.0,144.0,160.0,women,107.1,196.9,214.3052855532707,736.7816323407101,2372.1614741903436,3169.60783004862,4613.435398752986
w15ae,116.0,516.0,216.0,224.0,women,154.0,286.0,228.5593668593509,633.8182015292625,2256.5367347040783,2859.7827635799026,4099.006413165899
w16ae,164.0,520.0,192.0,208.0,women,164.0,258.7,206.64936756447042,704.1533816450956,2450.185908265864,3012.8541989330333,4207.136115218596
w17ae,116.0,439.0,248.0,222.0,women,181.7,288.3,216.2236522025532,669.1184384739972,2152.872668505209,2791.9807169086557,4245.239844533144
w19ae,149.0,512.0,248.0,264.0,women,196.1,315.9,236.25889332827296,718.4323779011637,1956.4635357241539,2686.505495868136,3729.7797529879867
w20ae,199.0,506.0,272.0,288.0,women,229.3,330.7,190.27299293767564,635.904626567312,2327.0054136462427,2886.0165239384205,4141.881358384934
w21ae,145.0,527.0,220.0,201.0,women,147.5,273.5,221.0212465912189,632.6457660483168,2089.8304028546913,2783.253750047841,3723.672399937949
w22ae,101.0,439.0,145.0,160.0,women,101.0,208.3,186.72521668879614,601.3618610951493,2407.325524966791,3096.5917769259136,4354.361506953586
w23ae,149.0,514.0,176.0,228.0,women,149.0,262.2,216.76491732900055,686.5642905051599,2289.826151465843,2875.5997167697224,4470.834606675404
w24ae,85.0,416.0,176.0,192.0,women,129.4,238.6,247.9842624124393,741.7915334055313,2259.815101516592,3175.939841086008,4257.7043215467675
w25ae,164.0,625.0,240.0,256.0,women,171.9,324.1,221.5892636984069,681.4960323445075,1098.9317089451129,2591.540389125345,3596.773904652238
w26ae,170.0,516.0,364.0,304.0,women,276.9,391.1,179.50390695031976,752.289153752121,1944.2418538336522,2926.1075916220093,4203.995103319924
w27ae,110.0,382.0,160.0,151.0,women,110.6,200.4,254.95048768257527,742.0729402765256,2395.9820315878424,2803.0869391569486,3636.24780362079
w28ae,80.0,340.0,124.0,123.0,women,80.6,166.4,227.27919976278002,660.3486736199468,2248.8938718385184,2974.3581834082743,4179.261982462016
w29ae,114.0,447.0,190.0,208.0,women,144.1,253.9,245.39654840471866,702.2059355852888,1611.4006255542306,2427.4363732279535,3199.369120744483
w30ae,98.0,408.0,145.0,155.0,women,98.8,201.2,237.8702564693719,737.8747419915097,2360.8002930431485,2916.1957803248256,4011.0391654459095
w31ae,99.0,463.0,128.0,144.0,women,99.0,196.1,206.63904176219003,690.0572291897051,2135.8558789877065,2833.568687831892,3867.0544380604165
w32ae,72.0,311.0,104.0,112.0,women,72.0,147.4,210.32271520031395,656.4831822465128,2227.4677410083796,2709.524959028475,4056.366447200291
w33ae,102.0,363.0,129.0,141.0,women,102.0,178.1,235.4316404082532,717.8011834474983,1486.4656646066103,2782.912925829207,3680.9133846890736
w34ae,125.0,402.0,140.0,147.0,women,125.0,189.2,223.36471637046876,610.9347425046856,2553.4090490534186,3198.810261380095,4456.058237000968
w35ae,126.0,454.0,151.0,161.0,women,126.0,210.1,213.24206487616394,679.5110997480792,2321.7916252491495,2796.4776560930327,3354.097792272807
w36ae,141.0,554.0,218.0,218.0,women,149.9,286.1,202.05016203033765,748.7663963751198,2370.9467703251535,3066.147568885192,4347.348286666408
w37ae,143.0,548.0,260.0,274.0,women,200.2,333.8,191.03716609111893,854.0676019329813,1701.5643486706542,2593.297418385839,4062.5931535865593
w38ae,103.0,397.0,152.0,162.0,women,108.5,205.5,223.90268664613058,674.7044442506397,2254.812728798338,2972.5239138636002,4217.801752657329
w39ae,166.0,531.0,222.0,243.0,women,172.3,292.7,194.1474897822381,589.6208591878606,2374.295471054302,2822.906031226889,3193.9172495377284
w40ae,142.0,443.0,176.0,185.0,women,142.0,230.2,197.52183599382255,714.5144596116967,2350.486764459064,2941.9763097094233,4404.944978748571
w41ae,109.0,410.0,128.0,152.0,women,109.0,189.7,216.1777667385561,637.6106542756627,2611.713905241266,3193.021625562811,4170.00710326612
w42ae,112.0,424.0,128.0,173.0,women,112.0,202.0,227.03692347106318,564.3526699273748,2024.182941180907,2831.7240981671566,3445.2804687299194
w44ae,122.0,475.0,164.0,174.0,women,122.0,227.2,230.3044246154591,690.1660878678846,2190.239532490497,2822.0273790633173,3913.4375695775875
w45ae,127.0,460.0,161.0,187.0,women,127.0,228.9,208.81535324716563,672.1781841541837,2119.9383531705917,2495.7967297838322,3532.1756421632645
w46ae,120.0,485.0,144.0,164.0,women,120.0,214.2,156.40958057062863,650.2998339633306,2184.5306940052646,2936.0048526702876,3805.132268825209
w47ae,113.0,440.0,192.0,208.0,women,146.0,254.0,212.7738969573571,837.2583528828377,2053.6026657554576,2685.9744790674868,4137.47530870843
w48ae,64.0,374.0,94.0,107.0,women,64.0,151.7,214.92326488784622,627.1838671865552,2269.5601453508043,2861.145553865144,4113.656393726444
w49ae,84.0,403.0,136.0,160.0,women,95.4,200.6,209.03491960961483,736.6108627043415,2362.440089249279,2999.6532735843134,4315.17943229367
w50ae,91.0,448.0,167.0,176.0,women,112.6,230.4,210.20964609747645,756.1934255772018,2170.9756240156016,2596.368672674456,3443.287203158438
b01ae,72.0,329.0,116.0,115.0,children,73.1,157.9,240.30408044474734,637.2113558502765,2461.4797344862227,3386.8652802299066,4903.179612377316
b02ae,110.0,469.0,280.0,243.0,children,202.3,320.7,282.9392856872781,825.5127306215932,2489.8228913709218,3414.392423063576,5563.323590946125
b03ae,106.0,441.0,136.0,146.0,children,106.0,196.3,214.77792452708385,619.4831934495122,2771.826540674128,3872.1075274526293,5331.23262967182
b04ae,141.0,539.0,224.0,249.0,children,170.8,302.2,241.4897017358526,706.2443044935138,2669.4278056919907,3702.6383291180973,4893.466603396986
b05ae,94.0,361.0,132.0,157.0,children,100.4,188.6,204.44000830221606,717.2955168053103,2654.874592520655,3917.199749777058,5255.796230935299
b07ae,115.0,438.0,143.0,168.0,children,115.0,208.8,265.73343315834614,779.3161917719442,2229.4673729883666,3269.1753654411823,4876.75580696235
b08ae,161.0,477.0,280.0,296.0,children,235.9,340.1,215.1955655889198,841.8775054477029,2523.7260378924125,3532.9129810686504,5461.028171100253
b09ae,135.0,380.0,184.0,189.0,children,146.1,226.9,219.9632435789822,682.4031562453279,2630.001502678745,3653.0981671779664,5463.9039470527305
b10ae,158.0,554.0,272.0,304.0,children,222.7,353.3,205.5119483346517,668.2086995012796,2624.802432701767,3610.9232396013585,4630.661920645401
b11ae,103.0,401.0,139.0,162.0,children,103.0,199.7,208.00064013046466,653.6991134264827,2563.3145358564875,3288.8503851749256,4881.008979523056
b12ae,116.0,531.0,220.0,239.0,children,161.0,298.0,250.06123738243394,726.4675391883917,2532.8096725835358,3576.3181234312133,5309.429302833747
b13ae,112.0,393.0,144.0,151.0,children,112.0,193.9,218.5755314974472,727.898566055263,2621.2234662311184,3516.5488631585968,5273.27119817778
b14ae,114.0,428.0,210.0,191.0,children,148.7,252.3,201.57196917212266,685.8553856047927,2561.88218798434,3665.6568029430364,5531.674377008195
b15ae,116.0,498.0,153.0,178.0,children,116.0,228.5,277.7480156690213,604.3310671932867,2640.318333290233,3515.9495476636534,5489.857866763615
b16ae,86.0,453.0,151.0,168.0,children,98.9,220.1,192.93594230738324,752.9630384306802,2258.020779287193,3233.6962175112744,5135.6336149455765
b17ae,106.0,458.0,145.0,192.0,children,110.4,226.6,247.8735714520877,712.1851473361567,2347.1725725929064,3559.3783461908984,5009.974542633377
b18ae,94.0,401.0,136.0,154.0,children,94.3,195.7,254.11995143777332,725.8559812716123,2472.599528681158,3110.139410696822,4759.087611867235
b19ae,74.0,386.0,112.0,128.0,children,74.0,171.5,215.55603334196886,715.8403825196343,2718.042284329627,3464.108137527631,5187.638819278983
b21ae,106.0,458.0,151.0,176.0,children,106.0,221.6,211.0097696002898,757.7251374697336,2428.380157270539,3398.7478167722184,5263.421195128492
b22ae,150.0,406.0,216.0,240.0,children,185.8,270.2,228.07994948572818,664.7776683209524,2542.798554043909,3692.410642184203,4993.851506054622
b23ae,154.0,500.0,188.0,192.0,children,154.0,247.1,266.90552660563003,789.3726085076825,2648.510819966738,3534.96602591068,4964.202072051706
b24ae,120.0,336.0,172.0,160.0,children,130.4,201.6,208.95302889865513,549.3050595401292,2706.4160046776124,3987.9019550853673,5400.0468087804
b25ae,191.0,475.0,222.0,224.6,children,191.0,270.2,323.10646982641003,633.9751714736527,2471.4659660761677,3792.7777230238667,5108.150487332918
b26ae,103.0,554.0,167.0,149.8,children,103.0,232.8,220.82074792479,635.8725154506676,2575.45621850596,3569.8149604012337,5025.022429754687
b27ae,89.0,332.0,104.0,105.6,children,89.0,144.9,211.222834554072,647.8396945734377,2582.079597194813,3662.3336243102835,4942.827535438633
b28ae,131.0,415.0,167.0,160.3,children,131.0,210.5,227.95139875072607,675.3099230299607,2467.698381314057,3742.8256250873274,5599.745788396642
b29ae,127.0,418.0,200.0,169.0,children,136.5,232.5,221.63789458294704,821.8986292715994,2451.5775354222837,3238.216455396104,4756.8404297704865
g01ae,114.0,409.0,157.0,176.0,children,117.8,215.2,245.56497456205497,722.3714566981173,2424.9465549816596,3561.0538437420246,4657.470902542594
g02ae,145.0,428.0,202.0,205.0,children,156.8,250.2,243.01562992647374,695.534608582764,2876.3737412617343,3411.359508441083,4867.591578100057
g04ae,180.0,565.0,302.0,291.0,children,233.0,360.0,255.1043776403552,912.5077776326749,2513.46320467149,3803.2067172393863,4050.9528090001036
g05ae,108.0,564.0,239.0,266.0,children,177.3,327.7,226.57098718488936,673.854435877728,2635.4345829696017,3646.1962241098695,4822.932998980015
g06ae,120.0,412.0,203.0,198.0,children,152.3,248.7,221.6083816276974,776.417226434858,2422.85560494095,3226.6627308483976,4552.751937609844
g07ae,144.0,485.0,193.0,245.0,children,162.7,275.3,240.88074390422673,702.3752956083844,2375.9101728787955,3099.4138299963074,4576.464967437604
g08ae,218.0,602.0,288.0,304.0,children,232.6,359.4,263.8873779487338,685.7171363778214,2801.268771459519,3820.614982896324,5409.978306257229
g09ae,125.0,507.0,280.0,281.0,children,217.5,343.5,263.2818406434822,760.3667083420313,2370.0293427657302,3337.9412139761157,4880.615930028305
g10ae,137.0,448.0,195.0,194.0,children,143.2,245.8,243.33878739380344,921.1559949404008,2610.536608329948,3398.513591389103,4893.350951291909
g11ae,132.0,485.0,195.0,226.0,children,152.3,268.7,234.5450439230929,689.5224545521415,2453.9602609335143,3748.380825605954,5021.643947040711
g12ae,88.0,410.0,160.0,176.0,children,114.9,221.1,255.65213544969717,763.0346588826923,2552.4151280793394,3540.014379329439,5103.628728952496
g13ae,172.0,473.0,243.0,272.0,children,207.8,307.2,251.96301840980215,749.2831405336792,2519.2559760300815,3500.6857090448357,4289.848393528415
g14ae,150.0,456.0,207.0,219.0,children,162.5,263.5,194.41580037120826,711.827948372346,2365.734526082844,3478.04554616566,5136.384344370642
g15ae,144.0,498.0,204.0,251.0,children,169.1,285.9,228.52616776071193,902.2098328340597,2566.4255033435825,3717.9979108274297,4958.830847698219
g17ae,83.0,391.0,128.0,144.0,children,85.2,186.8,223.34318902008482,722.7483263138892,2484.5361623990775,3772.3406625285907,4674.4945108823595
g18ae,149.0,466.0,198.0,182.4,children,149.0,242.5,219.6371435046733,591.3926663317807,2644.7634969619694,4018.7562760897613,5235.593228567686
g19ae,111.0,349.0,145.0,135.4,children,111.0,179.5,255.69555762217632,713.4316291683741,2720.2931040959197,3685.941383664085,5265.777596294697
g20ae,88.0,378.0,122.9,136.3,children,88.0,177.5,230.52264523138928,754.0572996369912,2718.7633213365,3603.6152093892224,4755.830321081005
g21ae,194.0,444.0,230.4,216.0,children,194.0,264.4,233.28748052667302,649.4724556070387,2859.6388482044435,3688.3420266156345,4667.306124687459
m01ah,204.0,520.2,254.0,268.0,men,208.8,313.2,159.782222557613,780.5715128519798,1277.2770490018113,2328.9531136686264,2772.916269321686
m02ah,136.0,385.0,172.0,218.0,men,153.9,236.1,103.4222446134946,761.7970298505384,1168.142753231193,2737.041306072009,3724.9962592255156
m03ah,100.0,473.0,220.0,185.0,men,141.0,264.0,98.37273033355866,741.5081566692292,1142.524934871782,2696.311397685704,3298.1905482590646
m04ah,98.0,400.0,214.0,168.0,men,141.2,240.8,126.78006849713888,815.8263849902207,1221.025638153107,2597.480550739289,4011.769981800267
m06ah,82.0,312.0,145.0,187.0,men,128.1,204.0,113.93719876945144,871.2165532570896,1269.8592704417565,2601.346602346214,3498.9944301445003
m07ah,86.0,351.0,129.0,128.0,men,86.0,172.2,99.1828869662213,748.616537772294,1311.0534463140837,2356.8284351508705,3509.8836393459037
m08ah,107.0,409.0,159.0,162.0,men,110.7,210.3,115.99213023950338,742.9078326222342,1309.8873176808218,2419.1088163716217,3488.9755464407403
m09ah,132.0,462.0,216.0,231.0,men,169.1,278.0,119.89795417062034,754.6452795134334,1425.470276330643,2540.154832400796,4417.135309646207
m10ah,97.0,368.0,152.0,161.0,men,111.8,201.2,153.34875228994252,787.0076247921547,1278.4820926774153,2636.3837610987675,3474.7697854526978
m11ah,110.0,431.0,229.0,190.0,men,156.5,262.5,144.57428085043594,808.9039891542639,1409.9806555924179,2215.145074622722,3902.0314901563934
m13ah,73.0,329.0,182.0,152.0,men,124.8,209.2,105.0772434010083,810.2743302353831,1435.3782155985837,2679.014715537066,3472.0172410360296
m14ah,109.0,387.0,165.0,204.0,men,138.6,230.4,100.04327875596849,733.7110571166194,1333.4801804056085,2355.562310854645,3642.280375315483
m16ah,84.0,276.0,118.0,126.0,men,90.3,153.7,146.71672043463298,669.8065007108584,1219.1404350066218,2574.7198806360043,2825.9998553857026
m17ah,197.0,440.0,288.0,277.0,men,242.4,322.6,136.77761980960778,661.3943040471503,1034.1850507738225,2281.498811253295,4079.3121001864038
m18ah,117.0,459.0,154.0,179.0,men,117.0,222.9,135.98549047409955,713.7195717009542,1275.7958894843605,2387.5160993415734,3508.203283509131
m19ah,141.0,410.0,267.0,236.0,men,207.1,295.9,148.9959168791896,790.9469768263292,1353.7414660528457,1897.687828913923,2643.9348216961503
m20ah,82.0,354.0,144.0,168.0,men,111.1,200.9,133.0755817359429,746.6628403916825,1499.3382246000087,2312.150050649363,2632.779440667242
m21ah,143.0,349.0,176.0,174.0,men,143.0,209.0,117.9314652835006,776.93507445633,1387.0746128054466,2460.347685010212,3652.4564466611123
m22ah,167.0,454.0,273.0,240.0,men,209.1,303.9,117.3686637773662,803.1466948077943,1394.0757875398854,2527.5412419405925,3860.037867868544
m23ah,112.0,390.0,175.0,198.0,men,140.6,232.4,106.55599967773125,793.5729702939509,1326.1416002668009,2716.0965622546446,4069.884811022092
m24ah,108.0,366.0,151.0,172.0,men,118.9,204.1,128.536415589484,800.6851995449033,1262.6838743792039,2452.102191062791,3798.5014484025614
m25ah,92.0,348.0,216.0,188.0,men,159.8,244.2,113.51033865620413,677.7448332853008,1236.7207938661636,2429.8019838007976,3851.4764640677186
m26ah,53.0,324.0,137.0,185.0,men,116.3,205.7,122.24607488189216,702.1509679333076,1370.1032983786301,2465.5238601711235,2880.818562678417
m27ah,94.0,306.0,124.0,137.0,men,95.5,165.5,106.45445507671296,722.1593947617913,1398.8308285375279,2493.1778424855333,3701.2171368743852
m28ah,154.0,308.0,178.0,186.0,men,156.6,207.4,174.59086417966816,785.9358316019378,1148.9140553437185,2312.0008154127268,3262.155113670504
m29ah,113.0,333.0,182.0,203.0,men,156.2,228.8,122.7076172052005,831.5289021359043,1425.5326604608722,2259.503615889266,3065.700038015276
m30ah,92.0,382.0,163.0,174.0,men,120.7,216.4,100.74046175990543,681.0280399712177,1332.0162178322578,2442.7251135328197,3549.6592838198676
m31ah,143.0,327.0,158.0,160.0,men,143.0,189.4,158.5445797738202,711.036442787526,1434.4947860055777,2395.3879748717313,4215.617356187032
m32ah,86.0,302.0,110.0,110.0,men,86.0,145.6,146.76693704241853,722.0391859921141,1290.6188856414192,2460.382491892788,4246.26671452632
m33ah,73.0,345.0,158.0,158.0,men,113.1,202.9,131.36360080111444,814.4454514879669,1379.1890440859343,2505.9706583400293,3958.0505780358703
m34ah,114.0,364.0,179.0,164.0,men,130.2,212.8,114.06036183220642,707.9402654514746,1354.091423605901,2011.466835030488,3435.7162772138126
m35ah,93.0,362.0,145.0,152.0,men,104.1,192.9,111.14564593466946,743.7427811649197,1279.7727740702285,2393.2804982402963,3242.7690966752593
m36ah,96.0,348.0,138.0,163.0,men,108.9,192.1,115.88734878417141,731.013806595503,1395.7880978473502,2502.4772714650644,3008.9709346311315
m37ah,60.0,279.0,93.0,91.0,men,60.0,128.1,129.53375511608277,708.813027741515,1344.7045102903269,2324.382464568652,3673.7789796655757
m38ah,82.0,274.0,130.0,146.0,men,106.3,169.7,147.00680239212184,691.9026800245489,1306.9765968891109,2494.072489728039,2646.3447820236024
m39ah,85.0,372.0,204.0,232.0,men,170.6,265.4,138.9709883244738,914.8463492389526,1401.1981112558287,2304.988744122071,3412.2201510454383
m40ah,109.0,363.0,169.0,163.0,men,124.1,207.9,122.36184500285145,744.5099634272699,1361.1552335951474,2283.250187319566,4029.053062912035
m41ah,78.0,291.0,128.0,144.0,men,100.9,171.1,137.491267610994,704.526194908502,1343.0276993093971,2600.363536344249,3399.714222474387
m42ah,114.0,406.0,177.0,179.0,men,129.8,226.2,139.93948801006042,812.9074203497589,1322.535192946902,2434.353444812385,3555.010564811284
m44ah,113.0,399.0,215.0,167.0,men,143.8,238.2,97.2843734578461,804.4175775850598,1321.588748484954,2469.6539798656104,2755.706042916017
m45ah,92.0,377.0,99.0,142.0,men,92.0,167.5,179.17740052343592,846.2889217740966,1288.6255790209636,2722.1174365641755,3595.4755901622116
m47ah,115.0,416.0,141.0,164.0,men,115.0,202.2,120.26243456545681,672.1910114997838,1203.7777800680572,2339.645615279921,3965.54745484049
m48ah,92.0,299.0,128.0,177.0,men,118.3,186.7,120.6569778426305,692.0748216163176,1326.651210995787,2646.8305234223076,3824.278953317475
m49ah,62.0,332.0,103.0,117.0,men,65.4,154.6,126.48324823207155,790.3721370451975,1315.2907841858157,2708.7932019367818,3559.7273916404924
m50ah,95.0,345.0,136.0,122.0,men,95.0,170.2,108.00248574055324,693.2113558237517,1454.683415149642,2508.516606650761,3345.0177334981463
w01ah,97.0,362.0,120.0,129.0,women,97.0,168.2,215.06124181050615,968.3372592982303,1422.794450034864,2489.3875592912286,3921.0928156789423
w02ah,132.0,575.0,268.0,279.0,women,200.4,346.6,210.33375157152025,902.8253840692513,1703.277498180344,2965.5290369555714,4098.190463689499
w03ah,88.0,345.0,131.0,138.0,women,92.1,176.9,200.63772972049114,1007.8203392856857,1597.4428519184758,2350.9812680644554,3551.50811646868
w04ah,110.0,460.0,251.0,249.0,women,192.2,307.8,215.8555654668685,815.9683611308579,1494.5268595946002,2818.2360687857363,4360.131511939716
w05ah,126.0,491.0,178.0,189.0,women,126.0,243.7,229.59810991902452,911.2277445376845,1456.440607403171,2604.8321160411087,4834.1078117482175
w06ah,95.0,424.0,195.0,187.0,women,136.7,245.3,211.94708557721194,818.4701131531821,1437.1397744512847,2814.829169156742,3264.255212030216
w07ah,120.0,426.0,264.0,242.0,women,202.5,303.5,176.47953044454783,904.7471654197669,1222.0412100887463,2691.7940573591654,4087.450644042792
